Start measure
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 00 
1 0D 01 
1 0D 01 
1 0D 02 
1 0D 02 
1 0D 03 
1 0D 05 
1 0D 06 
1 0D 08 
1 0D 08 
1 0D 08 
1 0D 08 
1 0D 08 
1 0D 08 
1 0D 09 
1 0D 09 
1 0D 09 
1 0D 0A 
1 0D 0A 
1 0D 0B 
1 0D 0B 
1 0D 0C 
1 0D 0C 
1 0D 0D 
1 0D 0D 
1 0D 0D 
1 0D 0D 
1 0D 0C 
1 0D 0C 
1 0D 0C 
1 0D 0B 
1 0D 0B 
1 0D 0B 
1 0D 0C 
1 0D 0C 
1 0D 0C 
1 0D 0D 
1 0D 0D 
1 0D 0E 
1 0D 0F 
1 0D 0F 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 10 
1 0D 0F 
1 0D 0F 
1 0D 0F 
1 0D 0F 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0D 
1 0D 0D 
1 0D 0D 
1 0D 0D 
1 0D 0D 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0F 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0E 
1 0D 0F 
1 0D 0F 
1 0D 10 
1 0D 10 
1 0D 11 
1 0D 12 
1 0D 13 
1 0D 13 
1 0D 14 
1 0D 15 
1 0D 15 
1 0D 15 
1 0D 15 
1 0D 16 
1 0D 16 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 17 
1 0D 18 
1 0D 17 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
1 0D 18 
Time of responses: 
72,725
94,085
73,817
58,145
50,879
75,775
58,474
104,677
58,599
66,519
70,218
64,333
75,095
58,7
91,36
76,215
78,011
73,302
55,184
79,936
60,23
62,487
53,987
61,131
83,561
69,793
67,781
70,597
83,257
79,003
68,005
81,154
67,684
140,468
68,977
113,765
127,172
110,667
167,282
100,347
64,451
99,305
128,155
55,132
57,765
76,31
104,02
126,165
92,614
183,602
67,99
173,779
111,762
71,982
187,458
116,999
136,858
146,34
55,077
51,84
94,661
72,78
63,702
53,511
54,554
65,123
125,383
66,307
76,627
67,612
53,867
73,553
63,067
65,272
110,032
53,456
80,907
64,46
70,549
66,334
69,733
78,6
61,046
60,915
79,658
61,155
226,307
107,037
64,637
74,776
126,105
103,872
68,489
55,923
64,097
65,938
79,087
103,275
76,786
59,197
56,423
54,987
164,499
69,695
94,686
96,181
67,688
124,191
107,71
105,123
117,809
63,195
70,484
60,273
52,491
74,548
55,7
67,466
58,392
53,552
79,807
58,496
95,359
64,772
59,548
81,509
70,582
62,644
72,686
77,712
66,399
59,916
63,198
91,35
57,119
74,849
79,547
55,737
61,273
55,608
51,668
Mean time: 81,306829787234
