Start measure
41 0D 24 
41 0D 26 
41 0D 27 
41 0D 28 
41 0D 29 
41 0D 2A 
41 0D 2A 
41 0D 2B 
41 0D 2B 
41 0D 2B 
41 0D 2C 
41 0D 2C 
41 0D 2C 
41 0D 2C 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2E 
41 0D 2E 
41 0D 30 
41 0D 30 
41 0D 31 
41 0D 33 
41 0D 33 
41 0D 33 
41 0D 32 
41 0D 31 
41 0D 31 
41 0D 31 
41 0D 31 
41 0D 31 
41 0D 31 
41 0D 32 
41 0D 32 
41 0D 32 
41 0D 33 
41 0D 33 
41 0D 33 
41 0D 34 
41 0D 34 
41 0D 34 
41 0D 35 
41 0D 35 
41 0D 36 
41 0D 36 
41 0D 37 
41 0D 37 
41 0D 37 
41 0D 37 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 39 
41 0D 39 
41 0D 3A 
41 0D 3B 
41 0D 3B 
41 0D 3B 
41 0D 3C 
41 0D 3D 
41 0D 3D 
41 0D 3E 
41 0D 3E 
41 0D 3F 
41 0D 3F 
41 0D 40 
41 0D 40 
41 0D 41 
41 0D 41 
41 0D 42 
41 0D 42 
41 0D 43 
41 0D 43 
41 0D 43 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 44 
41 0D 43 
41 0D 43 
41 0D 42 
41 0D 42 
41 0D 41 
41 0D 41 
41 0D 40 
41 0D 3F 
41 0D 3F 
41 0D 3E 
41 0D 3E 
41 0D 3D 
41 0D 3C 
41 0D 3B 
41 0D 3B 
41 0D 3A 
41 0D 39 
41 0D 37 
41 0D 37 
41 0D 36 
41 0D 35 
41 0D 35 
41 0D 34 
41 0D 34 
41 0D 34 
41 0D 34 
41 0D 34 
41 0D 34 
41 0D 35 
41 0D 35 
41 0D 35 
41 0D 35 
41 0D 35 
41 0D 35 
41 0D 36 
41 0D 36 
41 0D 36 
41 0D 36 
41 0D 37 
41 0D 37 
41 0D 37 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 38 
41 0D 39 
41 0D 39 
41 0D 39 
41 0D 39 
41 0D 3A 
41 0D 3A 
41 0D 3B 
41 0D 3B 
41 0D 3B 
41 0D 3C 
41 0D 3C 
41 0D 3D 
41 0D 3D 
41 0D 3D 
41 0D 3E 
41 0D 3E 
41 0D 3E 
41 0D 3D 
41 0D 3C 
41 0D 3B 
41 0D 39 
41 0D 38 
41 0D 37 
41 0D 34 
41 0D 34 
41 0D 33 
41 0D 32 
41 0D 31 
41 0D 31 
41 0D 31 
41 0D 30 
41 0D 30 
41 0D 2F 
41 0D 2F 
41 0D 2E 
41 0D 2E 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2C 
41 0D 2C 
41 0D 2C 
41 0D 2C 
41 0D 2C 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2E 
41 0D 2E 
41 0D 2E 
41 0D 2E 
41 0D 2F 
41 0D 2F 
41 0D 30 
41 0D 30 
41 0D 31 
41 0D 31 
41 0D 32 
41 0D 32 
41 0D 33 
41 0D 34 
41 0D 34 
41 0D 35 
41 0D 35 
41 0D 36 
41 0D 37 
41 0D 38 
41 0D 39 
41 0D 39 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3B 
41 0D 3B 
41 0D 3C 
41 0D 3C 
41 0D 3C 
41 0D 3D 
41 0D 3D 
41 0D 3D 
41 0D 3E 
41 0D 3E 
41 0D 3E 
41 0D 3E 
41 0D 3D 
41 0D 3D 
41 0D 3D 
41 0D 3C 
41 0D 3C 
41 0D 3B 
41 0D 3B 
41 0D 3B 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 39 
41 0D 38 
41 0D 37 
41 0D 37 
41 0D 35 
41 0D 35 
41 0D 33 
41 0D 32 
41 0D 2F 
41 0D 2E 
41 0D 2C 
41 0D 2B 
41 0D 2A 
41 0D 29 
41 0D 28 
41 0D 28 
41 0D 26 
41 0D 25 
41 0D 25 
41 0D 24 
41 0D 24 
41 0D 25 
41 0D 25 
41 0D 25 
41 0D 26 
41 0D 26 
41 0D 27 
41 0D 29 
41 0D 2A 
41 0D 2B 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2D 
41 0D 2E 
41 0D 2E 
41 0D 2E 
41 0D 2F 
41 0D 30 
41 0D 31 
41 0D 33 
41 0D 34 
41 0D 36 
41 0D 37 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3A 
41 0D 3B 
41 0D 3B 
41 0D 3C 
41 0D 3D 
41 0D 3E 
41 0D 3F 
41 0D 40 
41 0D 41 
41 0D 42 
41 0D 42 
41 0D 43 
41 0D 44 
41 0D 44 
41 0D 45 
